city,timestamp,temperature,season
New York,2010-01-01,-2.2875875175318465,winter
New York,2010-01-02,-2.9675728254332423,winter
New York,2010-01-03,3.989357311285482,winter
New York,2010-01-04,-1.58182125618584,winter
New York,2010-01-05,0.24373408830734278,winter
New York,2010-01-06,0.5551254797532116,winter
New York,2010-01-07,7.276171432565455,winter
New York,2010-01-08,4.996239650751483,winter
New York,2010-01-09,-5.451583994150411,winter
New York,2010-01-10,1.8794953652134616,winter
New York,2010-01-11,3.9396038517823344,winter
New York,2010-01-12,3.101252856889951,winter
New York,2010-01-13,4.83383420576848,winter
New York,2010-01-14,-1.8106912135275137,winter
New York,2010-01-15,-4.310231548620866,winter
New York,2010-01-16,-8.35418584972156,winter
New York,2010-01-17,4.3560456937150995,winter
New York,2010-01-18,0.48584996521289214,winter
New York,2010-01-19,7.350164361314389,winter
New York,2010-01-20,-10.094501927695116,winter
New York,2010-01-21,2.2266310954093234,winter
New York,2010-01-22,3.6023526088878475,winter
New York,2010-01-23,-5.224495996975646,winter
New York,2010-01-24,-4.370931091728551,winter
New York,2010-01-25,-4.37739623814395,winter
New York,2010-01-26,-13.257483625612135,winter
New York,2010-01-27,0.39895291003059197,winter
New York,2010-01-28,-4.98754298555078,winter
New York,2010-01-29,15.568572962695931,winter
New York,2010-01-30,7.1898936326476495,winter
New York,2010-01-31,-9.27137832718892,winter
New York,2010-02-01,1.4476545011551687,winter
New York,2010-02-02,7.14536584078286,winter
New York,2010-02-03,-5.372607176597901,winter
New York,2010-02-04,-0.7564804241721935,winter
New York,2010-02-05,-3.2377838008918047,winter
New York,2010-02-06,-5.28856642920024,winter
New York,2010-02-07,2.5661948575136293,winter
New York,2010-02-08,5.211713902796269,winter
New York,2010-02-09,-0.2815211401066841,winter
New York,2010-02-10,-0.7742467690296737,winter
New York,2010-02-11,-3.6798251932307013,winter
New York,2010-02-12,1.8310990957972275,winter
New York,2010-02-13,-5.153186794771757,winter
New York,2010-02-14,-16.65711290350135,winter
New York,2010-02-15,1.7839441470221313,winter
New York,2010-02-16,1.0305403725735263,winter
New York,2010-02-17,9.595710225521248,winter
New York,2010-02-18,0.7239442291014704,winter
New York,2010-02-19,-7.826325267726504,winter
New York,2010-02-20,-8.700491530311297,winter
New York,2010-02-21,1.3009019589325324,winter
New York,2010-02-22,6.848037453226259,winter
New York,2010-02-23,-2.225811030713284,winter
New York,2010-02-24,-5.640323544480793,winter
New York,2010-02-25,-7.4544569563303025,winter
New York,2010-02-26,-3.535537492807002,winter
New York,2010-02-27,10.53301027258726,winter
New York,2010-02-28,0.3668298119420033,winter
New York,2010-03-01,8.007059520258593,spring
New York,2010-03-02,14.940641374376062,spring
New York,2010-03-03,17.096476372885114,spring
New York,2010-03-04,10.848094992941805,spring
New York,2010-03-05,11.760373612775965,spring
New York,2010-03-06,11.107324532173006,spring
New York,2010-03-07,0.14119028859554916,spring
New York,2010-03-08,13.765563218042852,spring
New York,2010-03-09,13.983090651408608,spring
New York,2010-03-10,12.322381786056251,spring
New York,2010-03-11,22.021916004282353,spring
New York,2010-03-12,12.035212203536664,spring
New York,2010-03-13,11.700766432720645,spring
New York,2010-03-14,7.266960429222838,spring
New York,2010-03-15,14.860774121896664,spring
New York,2010-03-16,14.614364933332695,spring
New York,2010-03-17,-1.3646798173354036,spring
New York,2010-03-18,2.871219404031505,spring
New York,2010-03-19,18.223445958929048,spring
New York,2010-03-20,-1.683454731782458,spring
